sample_index,zip_path,crossings,time_seconds,return_code,status,timed_out,resource_limited,final_crossings,final_pd_code,mid_simplification_rounds,heuristic_failover_rounds,reidemeister_i_moves,reidemeister_ii_moves,reidemeister_iii_moves,nugatory_crossing_moves,tested_red_paths,tested_green_paths,last_path_search_mode,error
1,pd_code/data.random_knot_4570,307,46.69861199999286,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",23,0,56,60,1,5,630,53329,bruteforce,
2,pd_code/data.random_knot_3566,323,28.76206500000262,0,ok,False,False,0,PD[],18,0,56,85,1,2,371,17957,bruteforce,
3,pd_code/data.random_knot_4114,307,83.81796650000615,0,ok,False,False,9,"PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[7,16,8,17],X[8,11,9,12],X[10,13,11,14],X[12,9,13,10],X[15,18,16,1],X[17,14,18,15]]",28,0,55,51,1,3,32063,356501,bruteforce,
4,pd_code/data.random_knot_1299,165,16.963563299999805,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",31,0,46,0,1,7,568,32286,bruteforce,
5,pd_code/data.random_knot_4,305,29.863944000011543,0,ok,False,False,0,PD[],17,0,65,73,1,3,188,25408,bruteforce,
6,pd_code/data.random_knot_3058,184,4.220971200003987,0,ok,False,False,3,"PD[X[2,6,3,5],X[4,2,5,1],X[6,4,1,3]]",34,0,50,0,0,14,324,5328,bruteforce,
7,pd_code/data.random_knot_1850,265,99.01272690000769,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,9,6,8],X[7,11,8,10],X[9,7,10,6],X[11,3,12,2]]",10,0,65,78,2,4,28949,412545,bruteforce,
8,pd_code/data.random_knot_2411,230,58.396102300001075,0,ok,False,False,0,PD[],22,0,72,39,1,2,337,15584,bruteforce,
9,pd_code/data.random_knot_1197,174,21.380111899998155,0,ok,False,False,0,PD[],6,0,57,48,1,4,26,611,bruteforce,
10,pd_code/data.random_knot_2160,235,46.15735660000064,0,ok,False,False,0,PD[],37,0,53,0,0,9,609,55607,bruteforce,
11,pd_code/data.random_knot_3690,186,27.733365700012655,0,ok,False,False,0,PD[],25,0,47,0,0,4,226,21401,bruteforce,
12,pd_code/data.random_knot_2254,204,40.5933645000041,0,ok,False,False,0,PD[],34,0,50,0,1,10,452,42302,bruteforce,
13,pd_code/data.random_knot_1789,280,28.686177499999758,0,ok,False,False,0,PD[],13,0,55,76,1,3,135,11619,bruteforce,
14,pd_code/data.random_knot_4629,202,28.03757770000084,0,ok,False,False,0,PD[],7,0,67,51,1,1,75,6283,bruteforce,
15,pd_code/data.random_knot_3013,184,16.48332549999759,0,ok,False,False,0,PD[],35,0,44,0,0,3,402,32689,bruteforce,
16,pd_code/data.random_knot_937,292,62.876686799994786,0,ok,False,False,0,PD[],28,0,56,36,1,5,338,32198,bruteforce,
17,pd_code/data.random_knot_2053,325,76.68885609999415,0,ok,False,False,0,PD[],24,0,57,68,1,1,229,14971,bruteforce,
18,pd_code/data.random_knot_4167,226,60.96549180000147,0,ok,False,False,10,"PD[X[1,17,2,16],X[3,9,4,8],X[6,14,7,13],X[7,19,8,18],X[9,3,10,2],X[12,6,13,5],X[14,20,15,19],X[15,11,16,10],X[17,5,18,4],X[20,12,1,11]]",38,0,39,4,1,11,25597,568624,bruteforce,
19,pd_code/data.random_knot_4147,276,37.84248169999046,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",46,0,40,0,0,10,942,41588,bruteforce,
20,pd_code/data.random_knot_907,208,6.829858199998853,0,ok,False,False,0,PD[],28,0,60,0,0,5,295,17275,bruteforce,
21,pd_code/data.random_knot_3004,201,12.747773999988567,0,ok,False,False,0,PD[],29,0,64,0,0,4,387,35336,bruteforce,
22,pd_code/data.random_knot_4873,240,34.57226390000142,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",38,0,56,0,1,11,514,40254,bruteforce,
23,pd_code/data.random_knot_538,206,63.267815700004576,0,ok,False,False,0,PD[],40,0,52,0,1,10,621,52838,bruteforce,
24,pd_code/data.random_knot_2677,188,22.337019499987946,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",16,0,61,44,1,0,210,9899,bruteforce,
25,pd_code/data.random_knot_4138,368,60.26947620000283,0,ok,False,False,6,"PD[X[1,8,2,9],X[3,11,4,10],X[5,1,6,12],X[7,2,8,3],X[9,7,10,6],X[11,5,12,4]]",22,0,63,74,1,0,26333,396104,bruteforce,
26,pd_code/data.random_knot_4798,259,47.55281230001128,0,ok,False,False,0,PD[],40,0,49,0,0,4,506,50328,bruteforce,
27,pd_code/data.random_knot_102,199,32.716150199994445,0,ok,False,False,0,PD[],42,0,48,0,0,8,762,39230,bruteforce,
28,pd_code/data.random_knot_3174,312,66.09187970000494,0,ok,False,False,0,PD[],49,0,50,0,0,4,521,54452,bruteforce,
29,pd_code/data.random_knot_810,256,106.64912990000448,0,ok,False,False,5,"PD[X[1,4,2,5],X[3,8,4,9],X[5,10,6,1],X[7,2,8,3],X[9,6,10,7]]",41,0,44,0,0,10,28901,495262,bruteforce,
30,pd_code/data.random_knot_835,196,48.74449420000019,0,ok,False,False,11,"PD[X[1,6,2,7],X[4,11,5,12],X[5,22,6,1],X[7,13,8,12],X[9,21,10,20],X[10,3,11,4],X[14,18,15,17],X[16,14,17,13],X[18,16,19,15],X[19,9,20,8],X[21,2,22,3]]",33,0,52,0,0,13,20136,333866,bruteforce,
31,pd_code/data.random_knot_369,217,60.802716199992574,0,ok,False,False,6,"PD[X[1,9,2,8],X[3,10,4,11],X[5,3,6,2],X[7,1,8,12],X[9,4,10,5],X[11,7,12,6]]",43,0,34,1,1,17,26220,422861,bruteforce,
32,pd_code/data.random_knot_3397,175,11.1991238000046,0,ok,False,False,0,PD[],33,0,47,0,0,4,410,18503,bruteforce,
33,pd_code/data.random_knot_2218,232,32.21606779999274,0,ok,False,False,0,PD[],33,0,63,0,0,11,430,73141,bruteforce,
34,pd_code/data.random_knot_4337,227,25.418126400007168,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",23,0,59,32,1,4,360,8994,bruteforce,
35,pd_code/data.random_knot_3532,296,24.7856890999974,0,ok,False,False,0,PD[],18,0,75,78,1,5,224,11319,bruteforce,
36,pd_code/data.random_knot_2019,265,31.831418500005384,0,ok,False,False,0,PD[],47,0,60,0,0,8,406,37054,bruteforce,
37,pd_code/data.random_knot_1525,205,8.984495400000014,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",32,0,53,0,0,10,296,15101,bruteforce,
38,pd_code/data.random_knot_4687,257,22.511375899994164,0,ok,False,False,0,PD[],14,0,77,70,1,3,89,2440,bruteforce,
39,pd_code/data.random_knot_2624,191,17.78957170000649,0,ok,False,False,0,PD[],30,0,45,0,0,10,317,22501,bruteforce,
40,pd_code/data.random_knot_1124,252,44.21025340000051,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",38,0,52,0,1,10,724,38040,bruteforce,
41,pd_code/data.random_knot_1571,282,77.40019059999031,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",51,0,58,0,0,7,959,67080,bruteforce,
42,pd_code/data.random_knot_2148,174,19.367868899993482,0,ok,False,False,0,PD[],27,0,59,1,1,3,410,39776,bruteforce,
43,pd_code/data.random_knot_4406,186,48.62935299999663,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[8,12,9,11],X[10,8,11,7],X[12,10,1,9]]",29,0,59,0,0,8,28402,399840,bruteforce,
44,pd_code/data.random_knot_2043,283,32.743397600002936,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",18,0,54,76,1,0,359,34318,bruteforce,
45,pd_code/data.random_knot_4374,358,51.87806400000409,0,ok,False,False,0,PD[],23,0,59,67,1,3,239,23902,bruteforce,
46,pd_code/data.random_knot_3152,129,20.797446800002945,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",7,0,55,27,1,2,79,1116,bruteforce,
47,pd_code/data.random_knot_213,202,13.656375300008222,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",29,0,56,1,1,7,256,11168,bruteforce,
48,pd_code/data.random_knot_4269,195,25.882525399996666,0,ok,False,False,0,PD[],35,0,47,0,0,1,371,33971,bruteforce,
49,pd_code/data.random_knot_3677,258,63.7959603999916,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",44,0,49,0,0,3,826,67287,bruteforce,
50,pd_code/data.random_knot_2654,305,43.026139599998714,0,ok,False,False,0,PD[],13,0,66,82,1,2,98,10315,bruteforce,
51,pd_code/data.random_knot_633,273,38.26004580000881,0,ok,False,False,0,PD[],40,0,44,0,0,8,561,56212,bruteforce,
52,pd_code/data.random_knot_3460,240,65.78538499999559,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,9,6,8],X[7,11,8,10],X[9,7,10,6],X[11,3,12,2]]",39,0,40,0,0,13,28857,426169,bruteforce,
53,pd_code/data.random_knot_1971,200,61.91117320000194,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,9,6,8],X[7,11,8,10],X[9,7,10,6],X[11,3,12,2]]",6,0,49,62,1,2,28449,390156,bruteforce,
54,pd_code/data.random_knot_3535,198,66.36953229999926,0,ok,False,False,0,PD[],33,0,58,0,0,4,544,69519,bruteforce,
55,pd_code/data.random_knot_3295,227,57.45116830000188,0,ok,False,False,0,PD[],40,0,51,0,1,10,664,47287,bruteforce,
56,pd_code/data.random_knot_864,230,15.491486500002793,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",36,0,46,0,0,10,327,21633,bruteforce,
57,pd_code/data.random_knot_930,386,78.3899284999934,0,ok,False,False,0,PD[],55,0,48,0,0,3,953,92001,bruteforce,
58,pd_code/data.random_knot_480,249,70.17777299998852,0,ok,False,False,6,"PD[X[1,4,2,5],X[3,12,4,1],X[5,2,6,3],X[6,9,7,10],X[8,11,9,12],X[10,7,11,8]]",41,0,41,1,0,8,29755,444965,bruteforce,
59,pd_code/data.random_knot_1780,195,22.759364300000016,0,ok,False,False,0,PD[],26,0,43,0,0,3,363,37938,bruteforce,
60,pd_code/data.random_knot_1262,299,97.6794157000113,0,ok,False,False,8,"PD[X[1,13,2,12],X[4,10,5,9],X[7,3,8,2],X[8,15,9,16],X[10,6,11,5],X[11,1,12,16],X[13,6,14,7],X[14,4,15,3]]",46,0,37,0,0,5,24952,477519,bruteforce,
61,pd_code/data.random_knot_158,202,37.576642100000754,0,ok,False,False,0,PD[],31,0,30,0,0,11,336,30156,bruteforce,
62,pd_code/data.random_knot_3299,273,27.609989100004896,0,ok,False,False,0,PD[],39,0,57,0,0,7,253,15741,bruteforce,
63,pd_code/data.random_knot_587,255,120.01459049999539,2,timeout,True,False,8,"PD[X[1,15,2,14],X[4,7,5,8],X[6,11,7,12],X[8,3,9,4],X[10,5,11,6],X[12,9,13,10],X[13,1,14,16],X[15,3,16,2]]",46,0,52,0,1,3,1960,209738,heuristic,timed out after 120.0 seconds
64,pd_code/data.random_knot_4517,217,47.730743399995845,0,ok,False,False,0,PD[],37,0,44,0,0,13,599,62898,bruteforce,
65,pd_code/data.random_knot_4695,264,33.3217711999896,0,ok,False,False,4,"PD[X[1,7,2,6],X[3,8,4,1],X[5,3,6,2],X[7,4,8,5]]",20,0,44,43,1,0,420,18726,bruteforce,
66,pd_code/data.random_knot_1945,215,23.153408700003638,0,ok,False,False,0,PD[],28,0,61,1,1,4,427,30301,bruteforce,
67,pd_code/data.random_knot_2238,253,76.38320810000005,0,ok,False,False,0,PD[],41,0,51,0,0,4,994,154732,bruteforce,
68,pd_code/data.random_knot_521,234,13.191726700009895,0,ok,False,False,0,PD[],29,0,52,0,0,4,257,18399,bruteforce,
69,pd_code/data.random_knot_3007,325,62.32069259999844,0,ok,False,False,4,"PD[X[2,6,3,5],X[4,7,5,8],X[6,2,7,1],X[8,3,1,4]]",26,0,51,57,1,1,533,36616,bruteforce,
70,pd_code/data.random_knot_1084,209,21.001109899996663,0,ok,False,False,0,PD[],4,0,71,60,1,4,20,128,bruteforce,
71,pd_code/data.random_knot_3432,376,97.2849811000051,0,ok,False,False,15,"PD[X[1,9,2,8],X[3,27,4,26],X[5,30,6,1],X[7,3,8,2],X[9,6,10,7],X[12,24,13,23],X[15,11,16,10],X[16,28,17,27],X[18,22,19,21],X[20,18,21,17],X[22,20,23,19],X[24,14,25,13],X[25,5,26,4],X[28,11,29,12],X[29,15,30,14]]",38,0,50,89,1,4,27979,790173,bruteforce,
72,pd_code/data.random_knot_3639,308,91.1415163000056,0,ok,False,False,8,"PD[X[1,12,2,13],X[2,7,3,8],X[4,14,5,13],X[5,10,6,11],X[8,3,9,4],X[11,16,12,1],X[14,9,15,10],X[15,7,16,6]]",21,0,56,71,1,7,25056,453530,bruteforce,
